Strain,IFNB_Concentration,Replicate
ΔsecA2/secA2_MT,50.83801424305,3
ΔsecA2/secA2_MT,55.50001444465,3
ΔsecA2/secA2_MT,52.91926433305,3
ΔsecA2/secA2_MT,47.02932657835,3
ΔesxBA,32.62707595555,3
ΔesxBA,34.58345104015,3
ΔesxBA,27.86101324945,3
ΔesxBA,26.30007568195,3
ΔesxBA,25.98788816845,3
ΔesxBA,23.76095057215,3
WT-HK_MOI10,3.86419971175,3
WT-HK_MOI10,6.46576232425,3
WT-HK_MOI10,2.51138715325,3
WT-HK_MOI10,4.40532473515,3
WT-HK_MOI10,0.638262072250003,3
WT-HK_MOI10,3.01088717485,3
Uninfected,0,4
Uninfected,2.99628366950001,4
Uninfected,5.5273504865,4
Uninfected,0,4
Uninfected,2.13297405750001,4
Uninfected,0.4063548335,4
WT,20.9295787915,4
WT,20.9884408105,4
WT,18.8694081265,4
WT,25.8347470415,4
WT,24.5201619505,4
WT,20.7922340805,4
ΔsecA2_MOI1,69.6869511965,4
ΔsecA2_MOI1,71.0603983065,4
ΔsecA2_MOI1,67.4305738015,4
ΔsecA2_MOI1,82.4992506655,4
ΔsecA2_MOI1,80.8707348065,4
ΔsecA2_MOI1,76.0440492485,4
ΔsecA2_MOI2.5,131.4332091275,4
ΔsecA2_MOI2.5,149.5627109795,4
ΔsecA2_MOI2.5,147.8557124285,4
ΔsecA2_MOI2.5,160.6483912245,4
ΔsecA2_MOI2.5,157.6268075825,4
ΔsecA2_MOI2.5,165.8478695695,4
ΔsecA2_MOI5,253.1206230735,4
ΔsecA2_MOI5,281.0408407525,4
ΔsecA2_MOI5,279.0591527795,4
ΔsecA2_MOI5,296.0506555975,4
ΔsecA2_MOI5,295.8740695405,4
ΔsecA2_MOI5,296.3842070385,4
ΔsecA2_MOI10,349.5758515415,4
ΔsecA2_MOI10,373.9447274075,4
ΔsecA2_MOI10,378.1631721025,4
ΔsecA2_MOI10,403.4542195995,4
ΔsecA2_MOI10,383.0879610255,4
ΔsecA2_MOI10,402.4339446035,4
ΔsecA2/secA2_MM,20.2232345635,4
ΔsecA2/secA2_MM,24.0885071445,4
ΔsecA2/secA2_MM,22.1656811905,4
ΔsecA2/secA2_MM,19.3795456245,4
ΔsecA2/secA2_MM,22.2834052285,4
ΔsecA2/secA2_MM,20.2624759095,4
ΔsecA2/secA2_MT,18.8105461075,4
ΔsecA2/secA2_MT,28.1303657825,4
ΔsecA2/secA2_MT,32.5253965345,4
ΔsecA2/secA2_MT,28.7386066455,4
ΔsecA2/secA2_MT,28.6012619345,4
ΔsecA2/secA2_MT,33.8203609525,4
ΔesxBA,8.13689999550001,4
ΔesxBA,0,4
ΔesxBA,2.2899394415,4
ΔesxBA,0,4
ΔesxBA,1.85828463550001,4
ΔesxBA,0,4
WT-HK_MOI10,1.2696644455,4
WT-HK_MOI10,2.13297405750001,4
WT-HK_MOI10,1.72093992450001,4
WT-HK_MOI10,0,4
WT-HK_MOI10,0,4
WT-HK_MOI10,0,4
Uninfected,18.5095880540021,5
Uninfected,14.8854285129073,5
Uninfected,10.19368709149,5
Uninfected,14.351637572746,5
Uninfected,12.1602852920841,5
Uninfected,11.2050804517955,5
WT,47.7557127228371,5
WT,43.4853852015471,5
WT,42.5301803612585,5
WT,47.7557127228371,5
WT,47.3904873427268,5
WT,41.7435410810209,5
ΔsecA2_MOI1,24.4093826557844,5
ΔsecA2_MOI1,23.9036859756316,5
ΔsecA2_MOI1,26.2074152963276,5
ΔsecA2_MOI1,29.6068207573545,5
ΔsecA2_MOI1,26.3197923363615,5
ΔsecA2_MOI1,24.5779482158353,5
ΔsecA2_MOI2.5,39.6926601004013,5
ΔsecA2_MOI2.5,37.2203652196545,5
ΔsecA2_MOI2.5,38.287947099977,5
ΔsecA2_MOI2.5,45.2834178420902,5
ΔsecA2_MOI2.5,46.884790662574,5
ΔsecA2_MOI2.5,46.8005078825485,5
ΔsecA2_MOI5,72.7596041303905,5
ΔsecA2_MOI5,76.6085177515532,5
ΔsecA2_MOI5,72.787698390399,5
