Strain,Uptake,Replicate
ΔsecA2_MOI2.5,606000,5
ΔsecA2_MOI2.5,444000,5
ΔsecA2_MOI5,1254000,5
ΔsecA2_MOI5,1284000,5
ΔsecA2_MOI5,1120000,5
ΔsecA2_MOI5,978000,5
ΔsecA2_MOI5,1050000,5
ΔsecA2_MOI5,880000,5
ΔsecA2_MOI10,2372000,5
ΔsecA2_MOI10,2352000,5
ΔsecA2_MOI10,2212000,5
ΔsecA2_MOI10,2600000,5
ΔsecA2_MOI10,2398000,5
ΔsecA2_MOI10,2072000,5
ΔsecA2/secA2_MM,204000,5
ΔsecA2/secA2_MM,174000,5
ΔsecA2/secA2_MM,122000,5
ΔsecA2/secA2_MM,218000,5
ΔsecA2/secA2_MM,112000,5
ΔsecA2/secA2_MM,148000,5
ΔsecA2/secA2_MT,116000,5
ΔsecA2/secA2_MT,104000,5
ΔsecA2/secA2_MT,136000,5
ΔsecA2/secA2_MT,80000,5
ΔsecA2/secA2_MT,82000,5
ΔsecA2/secA2_MT,12000,5
ΔesxBA,66000,5
ΔesxBA,70000,5
ΔesxBA,54000,5
ΔesxBA,62000,5
ΔesxBA,104000,5
ΔesxBA,104000,5
WT-HK_MOI10,0,5
WT-HK_MOI10,0,5
WT-HK_MOI10,0,5
WT-HK_MOI10,0,5
WT-HK_MOI10,0,5
WT-HK_MOI10,0,5
Uninfected,0,6
Uninfected,0,6
Uninfected,0,6
WT,306000,6
WT,286000,6
WT,243000,6
ΔsecA2_MOI1,208000,6
ΔsecA2_MOI1,212000,6
ΔsecA2_MOI1,143000,6
ΔsecA2_MOI5,646000,6
ΔsecA2_MOI5,574000,6
ΔsecA2_MOI5,672000,6
ΔsecA2_MOI10,761000,6
ΔsecA2_MOI10,764000,6
ΔsecA2_MOI10,755000,6
ΔsecA2/secA2_MM,73000,6
ΔsecA2/secA2_MM,91000,6
ΔsecA2/secA2_MM,75000,6
ΔsecA2/secA2_MT,111000,6
ΔsecA2/secA2_MT,97000,6
ΔsecA2/secA2_MT,111000,6
ΔesxBA,141000,6
ΔesxBA,142000,6
ΔesxBA,127000,6
WT-HK_MOI10,0,6
WT-HK_MOI10,0,6
WT-HK_MOI10,0,6
Uninfected,0,7
Uninfected,0,7
Uninfected,0,7
WT,362000,7
WT,343000,7
WT,267000,7
ΔsecA2_MOI1,180000,7
ΔsecA2_MOI1,199000,7
ΔsecA2_MOI1,187000,7
ΔsecA2_MOI5,680000,7
ΔsecA2_MOI5,596000,7
ΔsecA2_MOI5,528000,7
ΔsecA2_MOI10,1151000,7
ΔsecA2_MOI10,1100000,7
ΔsecA2_MOI10,936000,7
ΔsecA2/secA2_MM,102000,7
ΔsecA2/secA2_MM,102000,7
ΔsecA2/secA2_MM,84000,7
ΔsecA2/secA2_MT,62000,7
ΔsecA2/secA2_MT,56000,7
ΔsecA2/secA2_MT,64000,7
ΔesxBA,192000,7
ΔesxBA,166000,7
ΔesxBA,165000,7
WT-HK_MOI10,0,7
WT-HK_MOI10,0,7
WT-HK_MOI10,0,7
Uninfected,0,8
Uninfected,0,8
Uninfected,0,8
WT,98000,8
WT,90000,8
WT,96000,8
ΔsecA2_MOI1,51000,8
ΔsecA2_MOI1,44000,8
ΔsecA2_MOI1,19000,8
ΔsecA2_MOI5,209000,8
ΔsecA2_MOI5,144000,8
ΔsecA2_MOI5,138000,8
ΔsecA2_MOI10,480000,8
ΔsecA2_MOI10,450000,8
ΔsecA2_MOI10,310000,8
ΔsecA2/secA2_MM,66000,8
ΔsecA2/secA2_MM,48000,8
ΔsecA2/secA2_MM,44000,8
ΔsecA2/secA2_MT,33000,8
ΔsecA2/secA2_MT,36000,8
ΔsecA2/secA2_MT,18000,8
ΔesxBA,95000,8
ΔesxBA,81000,8
ΔesxBA,75000,8
WT-HK_MOI10,0,8
WT-HK_MOI10,0,8
WT-HK_MOI10,0,8
Uninfected,0,9
Uninfected,0,9
Uninfected,0,9
WT,751000,9
WT,646000,9
WT,561000,9
ΔsecA2_MOI1,323000,9
ΔsecA2_MOI1,261000,9
ΔsecA2_MOI1,248000,9
ΔsecA2_MOI5,786000,9
