Time,A1,B1,C1,D1,E1,A2,B2,C2,D2,E2,A3,B3,C3,D3,E3
0,0.0833333333333333,0.0777777777777778,0.0766666666666667,0.0688888888888889,0.0622222222222222,0.102222222222222,0.0977777777777777,0.118888888888889,0.118888888888889,0.124444444444445,0.122222222222222,0.121111111111111,0.122222222222222,0.131111111111111,0.131111111111111
24,0.532222222222222,0.447777777777778,0.61,0.577777777777778,0.56,0.62,0.326666666666666,0.63,0.592222222222222,0.605555555555555,0.677777777777778,0.463333333333333,0.637777777777778,0.622222222222222,0.631111111111111
48,1.55,0.795555555555556,1.50222222222222,1.45333333333333,1.40888888888889,1.70444444444444,0.58,1.46777777777778,1.40444444444444,1.54777777777778,1.88888888888889,0.794444444444444,1.62,1.55777777777778,1.65222222222222
72,3.65444444444444,1.35333333333333,3.43222222222222,3.26666666666667,2.96888888888889,3.82555555555556,0.798888888888889,3.12333333333333,3.05111111111111,3.05111111111111,4.20666666666667,1.25111111111111,3.36666666666667,3.34222222222222,3.31222222222222
96,6.57888888888889,2.35444444444445,6.58444444444444,6.37777777777778,5.67111111111111,6.56222222222222,1.36222222222222,6.03444444444445,5.93777777777778,5.71222222222222,7.03111111111111,2.29777777777778,6.57444444444444,6.64888888888889,6.34777777777778
120,8.41444444444445,4.11222222222222,8.84333333333333,8.66888888888889,7.88666666666667,8.42,2.42666666666666,8.67555555555556,8.5,8.02888888888889,8.71111111111111,3.82888888888889,8.92444444444444,8.95333333333333,8.50888888888889
144,9.75555555555556,6.48777777777778,10.24,10.2844444444444,9.35555555555556,9.83777777777778,4.28222222222222,10.21,10.0177777777778,9.44333333333333,9.97,6.07666666666667,10.4588888888889,10.3833333333333,9.75222222222222
168,10.7655555555556,8.35333333333333,11.4388888888889,11.3433333333333,10.4322222222222,10.6566666666667,6.37666666666667,11.4877777777778,11.0688888888889,10.5722222222222,10.8211111111111,8.00111111111111,11.44,11.52,10.8466666666667
