Strain,Time,Count
ΔsecA2/secA2_MT,48,79500
ΔsecA2/secA2_MT,48,79500
ΔesxBA,48,4600
ΔesxBA,48,2500
ΔesxBA,48,4000
ΔesxBA,48,5000
ΔesxBA,48,7500
ΔesxBA,48,4000
ΔesxBA,48,8000
ΔesxBA,48,4500
ΔesxBA,48,500
WT,96,1430000
WT,96,1435000
WT,96,1220000
WT,96,1540000
WT,96,1470000
WT,96,1220000
WT,96,1010000
WT,96,1060000
WT,96,910000
ΔsecA2,96,510000
ΔsecA2,96,710000
ΔsecA2,96,470000
ΔsecA2,96,625000
ΔsecA2,96,745000
ΔsecA2,96,570000
ΔsecA2,96,615000
ΔsecA2,96,630000
ΔsecA2,96,540000
ΔsecA2/secA2_MM,96,1290000
ΔsecA2/secA2_MM,96,1255000
ΔsecA2/secA2_MM,96,1075000
ΔsecA2/secA2_MM,96,1435000
ΔsecA2/secA2_MM,96,1340000
ΔsecA2/secA2_MM,96,1080000
ΔsecA2/secA2_MM,96,1250000
ΔsecA2/secA2_MM,96,1060000
ΔsecA2/secA2_MM,96,1090000
ΔsecA2/secA2_MT,96,815000
ΔsecA2/secA2_MT,96,615000
ΔsecA2/secA2_MT,96,750000
ΔsecA2/secA2_MT,96,500000
ΔsecA2/secA2_MT,96,545000
ΔsecA2/secA2_MT,96,730000
ΔsecA2/secA2_MT,96,915000
ΔsecA2/secA2_MT,96,795000
ΔsecA2/secA2_MT,96,855000
ΔesxBA,96,9000
ΔesxBA,96,9500
ΔesxBA,96,17500
ΔesxBA,96,23000
ΔesxBA,96,22000
ΔesxBA,96,19000
ΔesxBA,96,27500
ΔesxBA,96,19500
ΔesxBA,96,18500
WT,2,31200
WT,2,32850
WT,2,29500
WT,2,41450
WT,2,35400
WT,2,34450
WT,2,40100
WT,2,36750
WT,2,33200
ΔsecA2,2,31200
ΔsecA2,2,4250
ΔsecA2,2,6250
ΔsecA2,2,4250
ΔsecA2,2,3850
ΔsecA2,2,10300
ΔsecA2,2,8250
ΔsecA2,2,6250
ΔsecA2,2,9000
ΔsecA2/secA2_MM,2,10950
ΔsecA2/secA2_MM,2,4000
ΔsecA2/secA2_MM,2,6350
ΔsecA2/secA2_MM,2,4000
ΔsecA2/secA2_MM,2,7800
ΔsecA2/secA2_MM,2,8200
ΔsecA2/secA2_MM,2,8100
ΔsecA2/secA2_MM,2,6250
ΔsecA2/secA2_MM,2,7550
ΔsecA2/secA2_MT,2,7050
ΔsecA2/secA2_MT,2,10050
ΔsecA2/secA2_MT,2,6650
ΔsecA2/secA2_MT,2,16050
ΔsecA2/secA2_MT,2,11350
ΔsecA2/secA2_MT,2,9600
ΔsecA2/secA2_MT,2,11700
ΔsecA2/secA2_MT,2,12100
ΔsecA2/secA2_MT,2,6550
ΔesxBA,2,7050
ΔesxBA,2,9050
ΔesxBA,2,8950
ΔesxBA,2,16500
ΔesxBA,2,21650
ΔesxBA,2,12900
ΔesxBA,2,9250
ΔesxBA,2,11850
ΔesxBA,2,12600
WT,48,259000
WT,48,219000
WT,48,198000
WT,48,257000
WT,48,262000
WT,48,243500
WT,48,339000
WT,48,314000
WT,48,305000
